Table,State,Distt.,Area Name,Type,Age-group,Total,illiterate,literate
C2308,00,000,INDIA,Total,All ages,587584719,258709529,328875190
C2308,00,000,INDIA,Total,0-6,78762999,78762999,0
C2308,00,000,INDIA,Total,7,11923276,3359531,8563745
C2308,00,000,INDIA,Total,8,12906436,2117672,10788764
C2308,00,000,INDIA,Total,9,11209653,1293565,9916088
C2308,00,000,INDIA,Total,10,14462671,1793381,12669290
C2308,00,000,INDIA,Total,11,11778342,1059145,10719197
C2308,00,000,INDIA,Total,12,13239415,1304209,11935206
C2308,00,000,INDIA,Total,13,11716908,1019553,10697355
C2308,00,000,INDIA,Total,14,12093041,1180325,10912716
C2308,00,000,INDIA,Total,15,12159708,1423331,10736377
C2308,00,000,INDIA,Total,16,11564358,1401609,10162749
C2308,00,000,INDIA,Total,17,9868018,1158414,8709604
C2308,00,000,INDIA,Total,18,12937296,2195787,10741509
C2308,00,000,INDIA,Total,19,10014673,1643220,8371453
C2308,00,000,INDIA,Total,20-24,53839529,12212466,41627063
C2308,00,000,INDIA,Total,25-29,50069757,15072101,34997656
C2308,00,000,INDIA,Total,30-34,43934277,16298810,27635467
C2308,00,000,INDIA,Total,35-39,42221303,18524159,23697144
C2308,00,000,INDIA,Total,40-44,34892726,17151840,17740886
C2308,00,000,INDIA,Total,45-49,30180213,16062247,14117966
C2308,00,000,INDIA,Total,50-54,23225988,13021195,10204793
C2308,00,000,INDIA,Total,55-59,19690043,11976353,7713690
C2308,00,000,INDIA,Total,60-64,18961958,12964714,5997244
C2308,00,000,INDIA,Total,65-69,13510657,9684474,3826183
C2308,00,000,INDIA,Total,70-74,9557343,7198872,2358471
C2308,00,000,INDIA,Total,75-79,4741900,3470507,1271393
C2308,00,000,INDIA,Total,80+,6005310,4433955,1571355
C2308,00,000,INDIA,Total,Age not stated,2116921,925095,1191826
C2308,00,000,INDIA,Rural,All ages,405967794,204535333,201432461
C2308,00,000,INDIA,Rural,0-6,58238416,58238416,0
C2308,00,000,INDIA,Rural,7,8750077,2652818,6097259
C2308,00,000,INDIA,Rural,8,9709963,1726252,7983711
C2308,00,000,INDIA,Rural,9,8234180,1034038,7200142
C2308,00,000,INDIA,Rural,10,10788008,1445468,9342540
C2308,00,000,INDIA,Rural,11,8531715,842741,7688974
C2308,00,000,INDIA,Rural,12,9807869,1067023,8740846
C2308,00,000,INDIA,Rural,13,8465789,822354,7643435
C2308,00,000,INDIA,Rural,14,8722955,953256,7769699
C2308,00,000,INDIA,Rural,15,8719978,1159111,7560867
C2308,00,000,INDIA,Rural,16,8180014,1139537,7040477
C2308,00,000,INDIA,Rural,17,6694496,929697,5764799
C2308,00,000,INDIA,Rural,18,9040991,1817804,7223187
C2308,00,000,INDIA,Rural,19,6696436,1350082,5346354
C2308,00,000,INDIA,Rural,20-24,35696384,10113829,25582555
C2308,00,000,INDIA,Rural,25-29,32692281,12453366,20238915
C2308,00,000,INDIA,Rural,30-34,28977587,13478048,15499539
C2308,00,000,INDIA,Rural,35-39,27937146,15121108,12816038
C2308,00,000,INDIA,Rural,40-44,23015773,13921319,9094454
C2308,00,000,INDIA,Rural,45-49,19823958,12940097,6883861
C2308,00,000,INDIA,Rural,50-54,15242241,10462697,4779544
C2308,00,000,INDIA,Rural,55-59,13324985,9746203,3578782
C2308,00,000,INDIA,Rural,60-64,13359653,10565428,2794225
C2308,00,000,INDIA,Rural,65-69,9707959,7913667,1794292
C2308,00,000,INDIA,Rural,70-74,6829421,5784666,1044755
C2308,00,000,INDIA,Rural,75-79,3270293,2743508,526785
C2308,00,000,INDIA,Rural,80+,4129194,3417606,711588
C2308,00,000,INDIA,Rural,Age not stated,1380032,695194,684838
C2308,00,000,INDIA,Urban,All ages,181616925,54174196,127442729
C2308,00,000,INDIA,Urban,0-6,20524583,20524583,0
C2308,00,000,INDIA,Urban,7,3173199,706713,2466486
C2308,00,000,INDIA,Urban,8,3196473,391420,2805053
C2308,00,000,INDIA,Urban,9,2975473,259527,2715946
