Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,,
1,11.5,20.00%,0.007,2.3,0.0644
2,0.24,5.10%,0.0033,0.01224,0.000751608
3,0.04,24.86%,0.0022,0.009944,6.61232E-05
4,13.81,2.29%,0.0066,0.316249,0.0890587566
5,19.84,3.47%,0.002,0.688448,0.038303104
6,20.61,20.84%,0.0002,4.295124,0.0032629752
7,24.9,34.91%,0.0089,8.69259,0.144245949
8,18.76,36.44%,0.0059,6.836144,0.0703507504
9,10.23,39.59%,0.0026,4.050057,0.0160678518
10,19.55,25.11%,0.0008,4.909005,0.011712796
11,1.14,33.29%,0,0.379506,0
12,6.4,37.34%,0.0034,2.38976,0.013634816
13,21.45,37.22%,0.0072,7.98369,0.096957432
14,8.17,12.91%,0.005,1.054747,0.035576265
15,15.73,14.68%,0.0056,2.309164,0.0751566816
16,8.73,37.14%,0.0059,3.242322,0.0323773002
17,24.02,39.85%,0.0029,9.57197,0.041899287
18,11.92,26.54%,0.0064,3.163568,0.0560411648
19,15.78,16.66%,0.0041,2.628948,0.0539193132
20,0.04,10.34%,0.0043,0.004136,0.0001542152
21,24.73,15.51%,0.0046,3.835623,0.0961141342
22,7.49,16.67%,0.0004,1.248583,0.0024965668
23,20.15,9.45%,0.0041,1.904175,0.0748078825
24,2.92,26.40%,0.0041,0.77088,0.008811392
25,0.3,32.34%,0.0039,0.09702,0.000791622
26,1.95,12.78%,0.0016,0.24921,0.002721264
27,10.57,28.81%,0.0063,3.045217,0.0474061329
28,19.41,30.77%,0.0099,5.972457,0.1330316757
29,16.09,22.67%,0.0022,3.647603,0.0273732734
30,5.65,32.08%,0.0067,1.81252,0.025711116
31,1.13,8.87%,0.0068,0.100231,0.0070024292
32,17.07,27.81%,0.0089,4.747167,0.1096732137
33,2.93,3.48%,0.0041,0.101964,0.0115949476
34,21.87,30.66%,0.0045,6.705342,0.068240961
35,18.92,31.15%,0.0007,5.89358,0.009118494
36,22.8,23.28%,0.0048,5.30784,0.083962368
37,10.8,19.95%,0.0042,2.1546,0.03631068
38,24.74,13.13%,0.0037,3.248362,0.0795190606
39,6.76,15.65%,0.0074,1.05794,0.042195244
40,6.51,16.35%,0.0004,1.064385,0.002178246
41,24.33,33.94%,0.0036,8.257602,0.0578606328
42,21.01,19.86%,0.0078,4.172586,0.1313318292
43,13.57,17.00%,0.0079,2.3069,0.08897849
44,8.97,37.63%,0.0023,3.375411,0.0128675547
45,3.15,16.53%,0.003,0.520695,0.007887915
46,13.56,22.41%,0.0053,3.038796,0.0557623812
47,10.71,22.36%,0.0094,2.394756,0.0781632936
48,22.29,35.08%,0.0053,7.819332,0.0766945404
49,4.64,32.95%,0.0034,1.52888,0.010577808
50,17.47,4.95%,0.0011,0.864765,0.0182657585
51,2.72,33.41%,0.0049,0.908752,0.0088751152
52,16.88,25.82%,0.0068,4.358416,0.0851467712
53,14.49,15.06%,0.0026,2.182194,0.0320002956
54,24.87,24.81%,0.0092,6.170247,0.1720377276
55,0.07,38.55%,0.0053,0.026985,0.0002279795
56,10.16,0.63%,0.0096,0.064008,0.0969215232
57,21.21,16.14%,0.0082,3.423294,0.1458509892
58,18.04,31.02%,0.0095,5.596008,0.118217924
59,2.16,26.35%,0.0046,0.56916,0.007317864
60,2.16,13.67%,0.0065,0.295272,0.012120732
61,8.76,30.03%,0.0093,2.630628,0.0570031596
62,14.57,28.67%,0.005,4.177219,0.051963905
63,14.9,10.44%,0.0076,1.55556,0.101417744
64,4.56,37.78%,0.0075,1.722768,0.02127924
65,2.28,21.66%,0.0004,0.493848,0.0007144608
66,13.69,26.56%,0.0061,3.636064,0.0613290096
67,20.74,5.91%,0.0061,1.225734,0.1190370226
68,7.14,15.40%,0.0032,1.09956,0.019329408
69,22.9,26.81%,0.0071,6.13949,0.118999621
70,20.82,1.78%,0.005,0.370596,0.10224702
71,14.48,14.52%,0.0015,2.102496,0.018566256
72,6.49,38.49%,0.0082,2.498001,0.0327343918
73,9.03,36.63%,0.0088,3.307689,0.0503563368
74,4.75,0.27%,0.01,0.012825,0.04737175
75,4.02,33.34%,0.008,1.340268,0.021437856
76,23.17,35.19%,0.0048,8.153523,0.0720790896
77,17.36,20.99%,0.0021,3.643864,0.0288038856
78,6.49,12.11%,0.0075,0.785939,0.0427804575
79,12.87,2.07%,0.0047,0.266409,0.0592368777
80,1.79,22.74%,0.0091,0.407046,0.0125848814
81,16.23,17.00%,0.0074,2.7591,0.09968466
82,15.42,22.36%,0.0097,3.447912,0.1161292536
83,22.33,30.80%,0.0079,6.87764,0.122073644
84,16.54,34.78%,0.0007,5.752612,0.0075511716
85,1.32,0.60%,0.0033,0.00792,0.004329864
86,1.45,37.05%,0.0066,0.537225,0.006024315
87,4.14,2.31%,0.0019,0.095634,0.0076842954
88,13.79,27.93%,0.0017,3.851547,0.0168953701
89,19.6,16.33%,0.0036,3.20068,0.059037552
90,3.09,7.97%,0.0076,0.246273,0.0216123252
91,24.3,20.84%,0.0077,5.06412,0.148116276
92,6.11,33.57%,0.0043,2.051127,0.0174531539
93,3.7,33.84%,0.0072,1.25208,0.017625024
94,6.22,34.44%,0.0095,2.142168,0.038739404
95,13.63,7.72%,0.0074,1.052236,0.0930754536
96,12.63,30.63%,0.0051,3.868569,0.0446832981
97,3.25,16.20%,0.0029,0.5265,0.00789815
98,21.77,22.74%,0.0021,4.950498,0.0353209542
99,20.72,19.54%,0.0091,4.048688,0.1517089392
100,15.85,35.67%,0.0025,5.653695,0.0254907625
101,10.62,28.65%,0.0006,3.04263,0.004546422
102,23.62,13.88%,0.0035,3.278456,0.071195404
103,15.18,9.39%,0.0025,1.425402,0.034386495
104,3.17,22.62%,0.0097,0.717054,0.0237935762
105,18.99,28.53%,0.0067,5.417847,0.0909334251
106,3.72,16.81%,0.0087,0.625332,0.0269236116
107,23.07,11.95%,0.0059,2.756865,0.1198474965
108,19.76,39.22%,0.005,7.749872,0.06005064
109,22.17,38.07%,0.0034,8.440119,0.0466815954
110,22.09,2.08%,0.0065,0.459472,0.140598432
111,2.04,36.63%,0.0027,0.747252,0.0034904196
112,9.04,0.29%,0.0005,0.026216,0.004506892
